url,current_status,registration_number,signature_collection,datetime
https://citizens-initiative.europa.eu/initiatives/details/2019/000010_en,Withdrawn,ECI(2019)000010,,
https://citizens-initiative.europa.eu/initiatives/details/2018/000007_en,Unsuccessful collection,ECI(2018)000007,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2018/000005_en,Unsuccessful collection,ECI(2018)000005,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2018/000002_en,Unsuccessful collection,ECI(2018)000002,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2018/000003_en,Unsuccessful collection,ECI(2018)000003,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2018/000001_en,Unsuccessful collection,ECI(2018)000001,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2017/000006_en,Unsuccessful collection,ECI(2017)000006,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2017/000008_en,Withdrawn,ECI(2017)000008,,
https://citizens-initiative.europa.eu/initiatives/details/2017/000005_en,Unsuccessful collection,ECI(2017)000005,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2017/000003_en,Unsuccessful collection,ECI(2017)000003,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2017/000001_en,Unsuccessful collection,ECI(2017)000001,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2016/000003_en,Unsuccessful collection,ECI(2016)000003,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2017/000002_en,Answered initiative,ECI(2017)000002,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2015/000003_en,Unsuccessful collection,ECI(2015)000003,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2016/000002_en,Unsuccessful collection,ECI(2016)000002,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2015/000006_en,Unsuccessful collection,ECI(2015)000006,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2016/000001_en,Withdrawn,ECI(2016)000001,,
https://citizens-initiative.europa.eu/initiatives/details/2014/000005_en,Unsuccessful collection,ECI(2014)000005,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2015/000002_en,Unsuccessful collection,ECI(2015)000002,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2015/000005_en,Withdrawn,ECI(2015)000005,,
https://citizens-initiative.europa.eu/initiatives/details/2015/000004_en,Withdrawn,ECI(2015)000004,,
https://citizens-initiative.europa.eu/initiatives/details/2013/000008_en,Unsuccessful collection,ECI(2013)000008,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2015/000001_en,Withdrawn,ECI(2015)000001,,
https://citizens-initiative.europa.eu/initiatives/details/2014/000004_en,Unsuccessful collection,ECI(2014)000004,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2013/000007_en,Unsuccessful collection,ECI(2013)000007,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000007_en,Answered initiative,ECI(2012)000007,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2014/000002_en,Withdrawn,ECI(2014)000002,,
https://citizens-initiative.europa.eu/initiatives/details/2013/000009_en,Unsuccessful collection,ECI(2013)000009,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2013/000006_en,Unsuccessful collection,ECI(2013)000006,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2014/000003_en,Withdrawn,ECI(2014)000003,,
https://citizens-initiative.europa.eu/initiatives/details/2013/000005_en,Withdrawn,ECI(2013)000005,,
https://citizens-initiative.europa.eu/initiatives/details/2013/000004_en,Unsuccessful collection,ECI(2013)000004,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000005_en,Answered initiative,ECI(2012)000005,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2014/000001_en,Withdrawn,ECI(2014)000001,,
https://citizens-initiative.europa.eu/initiatives/details/2012/000003_en,Answered initiative,ECI(2012)000003,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2013/000003_en,Unsuccessful collection,ECI(2013)000003,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2013/000002_en,Unsuccessful collection,ECI(2013)000002,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2013/000001_en,Unsuccessful collection,ECI(2013)000001,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000016_en,Unsuccessful collection,ECI(2012)000016,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000014_en,Unsuccessful collection,ECI(2012)000014,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000009_en,Unsuccessful collection,ECI(2012)000009,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000008_en,Unsuccessful collection,ECI(2012)000008,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000001_en,Unsuccessful collection,ECI(2012)000001,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000010_en,Unsuccessful collection,ECI(2012)000010,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000011_en,Unsuccessful collection,ECI(2012)000011,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2012/000013_en,Withdrawn,ECI(2012)000013,,
https://citizens-initiative.europa.eu/initiatives/details/2012/000015_en,Withdrawn,ECI(2012)000015,,
https://citizens-initiative.europa.eu/initiatives/details/2012/000006_en,Withdrawn,ECI(2012)000006,,
https://citizens-initiative.europa.eu/initiatives/details/2012/000012_en,Withdrawn,ECI(2012)000012,,
https://citizens-initiative.europa.eu/initiatives/details/2012/000002_en,Withdrawn,ECI(2012)000002,,
https://citizens-initiative.europa.eu/initiatives/details/2012/000004_en,Withdrawn,ECI(2012)000004,,
